2a. ZE - SÃO PAULO - PERDIZES;ASSOCIAÇÃO CÍVICA FEMININA;AVENIDA FRANCISCO MATARAZZO, 385;SÃO PAULO;Da 64ª à 69ª;;" "",""357ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;CENTRO EDUCACIONAL E ESPORTIVO ''RAUL TABAJARA'';RUA ANHANGUERA, 484;SÃO PAULO;373ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;CENTRO UNIVERSITÁRIO SÃO CAMILO;R. RAUL POMPÉIA, 144;SÃO PAULO;524ª.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;COLÉGIO DAS AMÉRICAS;AV. FRANCISCO MATARAZZO, 913;SÃO PAULO;Da 1ª à 27ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;COLÉGIO EMECE JARDIM ESCOLA O MUNDO DA CRIANÇA LTDA;RUA CORONEL MELO OLIVEIRA, 867;SÃO PAULO;449ª;; 481ª; 483ª; 500ª; 504ª; 508ª; 511ª; 516ª;" "",""449ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;COLÉGIO EQUIPE;RUA SÃO VICENTE DE PAULA, 374;SÃO PAULO;491ª;;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;COLÉGIO FACULDADE CLARETIANO;RUA MARTIM FRANCISCO, 736;SÃO PAULO;384ª;; 427ª; 436ª; 448ª; 489ª; 507ª;" "",""448ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;COLÉGIO NOSSA SENHORA DO SION;AVENIDA HIGIENÓPOLIS, 983;SÃO PAULO;375ª;; 421ª; 437ª; 446ª; 461ª; 464ª; 468ª; 471ª; 475ª; Da 478ª à 479ª; 482ª; 485ª; 503ª;" "",""446ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;COLÉGIO NOTRE DAME;RUA ALEGRETE, 168;SÃO PAULO;Da 260ª à 270ª;;" "",""441ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;COLÉGIO OSWALDO CRUZ;AVENIDA ANGÉLICA, 352;SÃO PAULO;Da 189ª à 203ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;COLÉGIO SAGRADO CORAÇÃO DE JESUS;RUA CORONEL MELO OLIVEIRA, 175;SÃO PAULO;Da 271ª à 281ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;COLÉGIO SANTA MARCELINA;RUA DR. ALBERTO TORRES, S/N, PORTÃO 1;SÃO PAULO;383ª;; 413ª; 417ª; 420ª; 422ª; 431ª; 444ª; 457ª; 463ª; 465ª; 469ª; 473ª; 476ª; 480ª;" "",""444ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;EMEI. MONTEIRO LOBATO;RUA BAHIA, 257;SÃO PAULO;379ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;EMEI. SANTOS DUMONT;RUA DIANA, 250;SÃO PAULO;380ª;; 412ª; 416ª;" "",""410ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;ESCOLA ESTADUAL ARTHUR GUIMARÃES;RUA JAGUARIBE, 354;SÃO PAULO;362ª;; 521ª;" "",""447ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;ESCOLA ESTADUAL BRIGADEIRO FARIA LIMA;RUA CAJAÍBA, 420;SÃO PAULO;Da 328ª à 339ª.;336ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;ESCOLA ESTADUAL CANUTO DO VAL;RUA SOLIMÕES, 460;SÃO PAULO;Da 70ª à 75ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2a. ZE - SÃO PAULO - PERDIZES;ESCOLA ESTADUAL CONSELHEIRO ANTONIO PRADO;RUA VITORINO CARMILO, 621;SÃO PAULO;Da 231ª à 242ª.;242ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
