neighbourhood,zone,name,address,sections1,sections2
"JARDIM VISTA LINDA","403a. ZE - SÃO PAULO - JARAGUÁ","EE. PROFA. ZENAIDE VILALVA DE ARAUJO","RUA BELO JARDIM, 674","Da 1ª à 17ª; 175ª; 193ª; ","193ª; "
"JARDIM VIVAN","403a. ZE - SÃO PAULO - JARAGUÁ","EMEF. PROF. LUIZ DAVID SOBRINHO","RUA BARRA DA FORQUILHA, 160","Da 94ª à 105ª; 135ª; 139ª; 171ª; 207ª; ","135ª; "
"JARDIM VIVAN","403a. ZE - SÃO PAULO - JARAGUÁ","EMEI. FERNANDO DE AZEVEDO","RUA BARRA DA FORQUILHA, 510","187ª; 199ª; 215ª; 231ª; 248ª; 266ª; ","199ª; "
"JARDIM YARA","256a. ZE - SÃO PAULO - TUCURUVI","E.M.E.F. PROFA. ESMERALDA SALLES PEREIRA RAMOS","RUA MARIA AMÁLIA LOPES AZEVEDO, 2167","Da 214ª à 225ª.","214ª; "
"JD JABAQUARA","320a. ZE - SÃO PAULO - JABAQUARA","EE. PROFESSORA HELOÍSA CARNEIRO","RUA ANTONIO COVELLO,58","Da 229ª à 246ª; 310ª; ","229ª; "
"JD LOURDES","320a. ZE - SÃO PAULO - JABAQUARA","EMEF C.E.U. CAMINHO DO MAR","AV. ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 5241","502ª; 504ª; Da 506ª à 507ª; 510ª; 515ª; 519ª; 522ª; 526ª; 530ª; 533ª; 536ª; 538ª; 541ª; 544ª; 555ª; 558ª; 562ª; Da 564ª à 565ª; ","502ª; "
"JD LOURDES","353a. ZE - SÃO PAULO - GUAIANASES","EMEI. PROFESSOR WILSON REIS SANTOS","RUA FRANCISCO DE SOUTO MAIOR, 14 A","775ª; 814ª; 839ª; 855ª; 865ª; 888ª; 911ª; 937ª; ","937ª; "
"JD ORIENTAL","320a. ZE - SÃO PAULO - JABAQUARA","EE. DOUTOR ANGELO MENDES DE ALMEIDA","RUA APACE, S/N","Da 155ª à 170ª; 348ª; 350ª; 354ª; ","155ª; 156ª; "
"JD PRUDENCIA","351a. ZE - SÃO PAULO - CIDADE ADEMAR","COLEGIO SAO SABAS","RUA DAS FLECHAS, 255","485ª; 496ª; 506ª; 516ª; 523ª; 531ª; 556ª; 560ª; 569ª; 572ª; 579ª; 581ª; 678ª; 701ª; 707ª; ","701ª; "
"JD PRUDENCIA","351a. ZE - SÃO PAULO - CIDADE ADEMAR","EE. PROF. LUIZ SIMIONE SOBRINHO","RUA FRANCISCO LOPES PINTO, 282","Da 260ª à 266ª; 360ª; 371ª; Da 401ª à 403ª; 432ª; 466ª; 683ª; 690ª; 708ª; 719ª; ","683ª; "
"JD S MARTINHO","397a. ZE - SÃO PAULO - JARDIM HELENA","EE. FERNANDES SOARES","RUA ERVA DO SERENO, 500","Da 55ª à 65ª; 310ª; 315ª; 328ª; 349ª; 367ª; 391ª; ","310ª; "
"JD S MARTINHO","397a. ZE - SÃO PAULO - JARDIM HELENA","EMEF. VIRGÍLIO DE MELO FRANCO","RUA ERVA DO SERENO, 15","Da 260ª à 263ª; 278ª; 305ª; 339ª; 375ª; 377ª; ","339ª; "
"JD SCAFF","320a. ZE - SÃO PAULO - JABAQUARA","EE. PROFESSOR PEDRO CALIL PADIS","AV. RODRIGUES MONTEMOR, 395","Da 292ª à 305ª; 309ª; Da 314ª à 315ª; 317ª; 319ª; 321ª; ","292ª; "
"JD STO ANTONIO","408a. ZE - SÃO PAULO - JARDIM SÃO LUÍS","EE. LUÍS GONZAGA TRAVASSOS DA ROSA","RUA AFONSO VIDAL, 600","Da 178ª à 185ª; 263ª; 290ª; ","290ª; "
"JORDANÓPOLIS","280a. ZE - SÃO PAULO - CAPELA DO SOCORRO","EE. PROF. JAYR DE ANDRADE","RUA LUIZ VIANA, 110","706ª; 728ª; 740ª; 757ª; 774ª; 784ª; 798ª; 814ª; 824ª; 840ª; 849ª; ","824ª; "
"LAGEADO","353a. ZE - SÃO PAULO - GUAIANASES","CEU LAJEADO","RUA MANUEL DA MOTA COUTINHO, 293","951ª; 954ª; 971ª; 986ª; ","951ª; "
"LAGEADO","353a. ZE - SÃO PAULO - GUAIANASES","E. E. VILA YOLANDA IV","RUA FERNANDES FRAZÃO, 37","Da 975ª à 976ª.","975ª; "
"LAGEADO","353a. ZE - SÃO PAULO - GUAIANASES","EE.  PADRE GIORGIO GAGLIANI CAPUTO","RUA QUIMANGA,  2","606ª; 629ª; 632ª; 651ª; 682ª; 713ª; 747ª; ","632ª; "
"LAGEADO","353a. ZE - SÃO PAULO - GUAIANASES","EE. ARACI ZEBRAL TEIXEIRA","RUA SERRA DAS ARARAS, 180","377ª; Da 385ª à 386ª; 404ª; Da 443ª à 444ª; 472ª; 480ª; 491ª; 498ª; 504ª; 807ª; 883ª; 896ª; 909ª; 966ª; ","896ª; "
"LAGEADO","353a. ZE - SÃO PAULO - GUAIANASES","EE. JOAQUIM EUGENIO LIMA NETO","RUA CHAPADA  DIAMANTINA,  521","Da 337ª à 341ª; Da 365ª à 366ª; 398ª; Da 424ª à 425ª; 485ª; 515ª; 537ª; 561ª; 588ª; 664ª; 924ª; ","924ª; "
"LAGEADO","353a. ZE - SÃO PAULO - GUAIANASES","EE. PROFª BALBINA NETTO VELLOSO","RUA FRANCISCO FERNANDES FRAZÃO,  37","Da 304ª à 310ª; 313ª; 315ª; 319ª; 322ª; Da 324ª à 325ª; 328ª; 334ª; 336ª; 355ª; Da 375ª à 376ª; ","304ª; "
"LAGEADO","353a. ZE - SÃO PAULO - GUAIANASES","EE. PROFª LUCIANE DO ESPIRITO SANTO","RUA FRANCISCO FERNANDES FRAZÃO,  22","655ª; 672ª; 687ª; 710ª; 727ª; 743ª; 764ª; 777ª; 781ª; 796ª; 811ª; 815ª; 824ª; 913ª; 929ª; 959ª; ","929ª; "
"LAGEADO","353a. ZE - SÃO PAULO - GUAIANASES","EMEF. IDEMIA DE GODOY","RUA ANDES, 807","410ª; 462ª; 484ª; 500ª; 524ª; 541ª; 560ª; 593ª; 638ª; 757ª; 785ª; 813ª; 822ª; 880ª; 901ª; ","901ª; "
"LAGEADO","353a. ZE - SÃO PAULO - GUAIANASES","EMEI.  PROFª  HELENA LOPES SANTANA DA SILVA","RUA ANDES,  851","829ª; 838ª; 846ª; 851ª; ",""
"LAPA","250a. ZE - SÃO PAULO - LAPA","COLÉGIO E FACULDADES INTEGRADAS CAMPOS SALLES","RUA NOSSA SENHORA DA LAPA, 270/284","Da 18ª à 26ª; 338ª; ","18ª; "
"LAPA","250a. ZE - SÃO PAULO - LAPA","COLÉGIO PRÉ MÉDICO","RUA DOM JOÃO V, 164/166","Da 12ª à 17ª; Da 67ª à 70ª; 290ª; 314ª; ","314ª; "
"LAPA","250a. ZE - SÃO PAULO - LAPA","EE. ANHANGUERA","RUA ANTÔNIO RAPOSO, 87","Da 27ª à 38ª; 307ª; 322ª; ","307ª; "
"LAPA","250a. ZE - SÃO PAULO - LAPA","EE. PEREIRA BARRETO","RUA NOSSA SENHORA DA LAPA, 615","Da 39ª à 49ª; 323ª; 329ª; ","39ª; "
"LAPA DE BAIXO","250a. ZE - SÃO PAULO - LAPA","EE. GUILHERME KUHLMANN","LARGO DA LAPA, 124","Da 1ª à 11ª; 297ª; ","4ª; "
"LAPA DE BAIXO","250a. ZE - SÃO PAULO - LAPA","EMEI. PROFESSORA NEYDE GUZZI DE CHIACCHIO","LARGO DA LAPA, S/N","352ª; 368ª; 389ª; 403ª; ","389ª; "
"LAUZANE PAULISTA","422a. ZE - SÃO PAULO - LAUZANE PAULISTA","EMEF. MARCOS MELEGA","RUA MONT BLANC, 98","Da 116ª à 129ª.",""
"LAUZANE PAULISTA","422a. ZE - SÃO PAULO - LAUZANE PAULISTA","EMEF. PROFA. NILCE CRUZ FIGUEIREDO","AVENIDA CORONEL MANUEL PY, 168","Da 239ª à 245ª; 291ª; 312ª; 329ª; 344ª; 357ª; ","291ª; "
"LAUZANE PAULISTA","422a. ZE - SÃO PAULO - LAUZANE PAULISTA","EMEI. PROFº ÊNIO CORREA","AVENIDA BASILEIA, 80","Da 218ª à 222ª.","218ª; "
"LAUZANE PAULISTA","422a. ZE - SÃO PAULO - LAUZANE PAULISTA","EMEI. SAVA POPOVIC","RUA FRIBURGO, 12","287ª; 294ª; 323ª; 336ª; ",""
"LIBERDADE","6a. ZE - SÃO PAULO - VILA MARIANA","COLÉGIO SANTO AGOSTINHO","PRAÇA SANTO AGOSTINHO, 79 - JUNTO AO METRÔ VERGUEIRO","Da 451ª à 459ª.","451ª; 452ª; 453ª; 454ª; 455ª; 456ª; 457ª; 458ª; 459ª; "
"LIBERDADE","1a. ZE - SÃO PAULO - BELA VISTA","EE PRESIDENTE ROOSEVELT","RUA SÃO JOAQUIM, 320","Da 290ª à 301ª; 362ª; 370ª; 376ª; Da 379ª à 380ª; 382ª; 397ª; 403ª; 414ª; 425ª; 436ª; 444ª; 454ª; ","290ª; "
"LIBERDADE","1a. ZE - SÃO PAULO - BELA VISTA","FECAP - LIBERDADE","AV. LIBERDADE, 532","Da 260ª à 289ª; 387ª; 404ª; 418ª; ","260ª; "
"LIBERDADE","1a. ZE - SÃO PAULO - BELA VISTA","FMU (PRÉDIO 16) - LIBERDADE","AVENIDA LIBERDADE, 899","Da 302ª à 321ª; 360ª; Da 365ª à 368ª; 384ª; Da 488ª à 489ª; ","314ª; "
"LIBERDADE","1a. ZE - SÃO PAULO - BELA VISTA","FMU (PRÉDIO 17) - FACULDADE DIREITO LIBERDADE","AVENIDA DA LIBERDADE, 749","Da 98ª à 112ª; Da 322ª à 329ª; Da 377ª à 378ª; 381ª; 392ª; 432ª; 452ª; 456ª; 463ª; 465ª; 468ª; 470ª; 472ª; 475ª; 477ª; 486ª; ","98ª; 378ª; 463ª; "
"LIBERDADE","1a. ZE - SÃO PAULO - BELA VISTA","UNICSUL - UNIV. CRUZEIRO DO SUL","RUA GALVÃO BUENO, 868","503ª; 517ª; ",""
"LIBERDADE","1a. ZE - SÃO PAULO - BELA VISTA","UNINOVE VERGUEIRO","RUA VERGUEIRO, 235","505ª; 520ª; ",""
"LIMOEIRO","398a. ZE - SÃO PAULO - VILA JACUÍ","EE. PROF. PAULO ROBERTO FAGGIONI","RUA TABACARANA, 10","Da 78ª à 91ª; 213ª; 234ª; 260ª; ","91ª; "
"LIMOEIRO","398a. ZE - SÃO PAULO - VILA JACUÍ","EE. REVERENDO JOSÉ BORGES DOS SANTOS JR.","RUA DANIEL ARCIONI, 80","Da 98ª à 100ª; 203ª; 224ª; 273ª; 292ª; 307ª; ",""
"LIMOEIRO","398a. ZE - SÃO PAULO - VILA JACUÍ","E.M.E.F. RAUL PILLA","RUA PADRE ORLANDO NOGUEIRA, 139","Da 163ª à 175ª; 225ª; ","225ª; "
"LUZ","3a. ZE - SÃO PAULO - SANTA IFIGÊNIA","FATEC FACULDADE DE TECNOLOGIA DE SÃO PAULO","AV. TIRADENTES, 615","Da 36ª à 51ª; 198ª; Da 203ª à 205ª; 208ª; 210ª; ","37ª; "
"MANDAQUI","422a. ZE - SÃO PAULO - LAUZANE PAULISTA","CENTRO EDUCACIONAL MONTEIRO LOBATO","AVENIDA ZUMKELLER, 400","277ª; 298ª; 324ª; 334ª; 345ª; 354ª; 358ª; ","354ª; "
"MARANHAO","253a. ZE - SÃO PAULO - TATUAPÉ","EE. CARLOS ESCOBAR","RUA ADELINO DE ALMEIDA CASTILHO, 178","Da 52ª à 60ª; 549ª; 576ª; ","549ª; "
"MIRANDOPOLIS","259a. ZE - SÃO PAULO - SAÚDE","EE. PROF. PAULO ROSSI","RUA DOS BOGARIS, 200","Da 156ª à 164ª; 458ª; 483ª; 511ª; 595ª; Da 653ª à 655ª; ","156ª; 157ª; 158ª; 159ª; 160ª; 161ª; 162ª; 163ª; 164ª; 458ª; 483ª; 511ª; 595ª; 653ª; 654ª; 655ª; "
"MIRANDOPOLIS","259a. ZE - SÃO PAULO - SAÚDE","EE. RUI BLOEM","RUA DOS BOGARIS, 244","Da 144ª à 155ª; 627ª; ","627ª; "
"MIRANDOPOLIS","259a. ZE - SÃO PAULO - SAÚDE","FAMESP FACULDADE MÉTODO DE SÃO PAULO","AVENIDA JABAQUARA, 1314 E 1324","Da 165ª à 172ª; 584ª; 610ª; 623ª; ","168ª; "
"MIRANDOPOLIS","259a. ZE - SÃO PAULO - SAÚDE","UNIP UNIDADE LUÍS GÓIS","RUA DR. BACELAR, 1.212","634ª; Da 659ª à 661ª; 689ª; 694ª; 703ª; 705ª; ","634ª; 659ª; 660ª; 661ª; 689ª; 694ª; 703ª; "
"MIRANDÓPOLIS","258a. ZE - SÃO PAULO - INDIANÓPOLIS","EE. ALMIRANTE BARROSO","AV. JABAQUARA, 2875","Da 443ª à 458ª; 474ª; 509ª; ","458ª; "
"MOINHO VELHO","327a. ZE - SÃO PAULO - NOSSA SENHORA DO Ó","CENTRO DE ENSINO INTEGRADO WELLINGTON","AVENIDA MINISTRO PETRÔNIO PORTELA, 11","526ª; 533ª; 541ª; 555ª; 560ª; 566ª; ","541ª; "
"MOINHO VELHO","260a. ZE - SÃO PAULO - IPIRANGA","COLÉGIO URSA MAIOR","RUA VERGUEIRO, 9109","Da 156ª à 166ª.",""
"MOINHO VELHO","327a. ZE - SÃO PAULO - NOSSA SENHORA DO Ó","EE. MATHIAS AIRES","RUA MOINHO VELHO, 355","Da 329ª à 338ª; 552ª; ","552ª; "
"MOINHO VELHO","327a. ZE - SÃO PAULO - NOSSA SENHORA DO Ó","EE. PROF. MILTON DA SILVA RODRIGUES","RUA JOÃO CORDEIRO, 929","Da 339ª à 346ª; Da 440ª à 441ª; 447ª; 452ª; 553ª; ","553ª; "
"MOOCA","4a. ZE - SÃO PAULO - MOÓCA","COLÉGIO SANTA CATARINA","RUA MARQUÊS DE VALENÇA, 641","341ª; 345ª; 348ª; 351ª; 353ª; 359ª; 362ª; 367ª; Da 372ª à 373ª; 377ª; 380ª; 383ª; 386ª; 389ª; 393ª; 396ª; 399ª; 402ª; 405ª; 424ª; 426ª; 432ª; ","341ª; 424ª; "
"MOOCA","4a. ZE - SÃO PAULO - MOÓCA","COLÉGIO SÃO JUDAS TADEU","RUA CLARK, 213","Da 48ª à 62ª; 306ª; 314ª; Da 320ª à 321ª; 331ª; 350ª; ","49ª; "
"MOOCA","4a. ZE - SÃO PAULO - MOÓCA","EE. GIANFRANCESCO GUARNIERI","RUA ITAPIRA, 183","Da 16ª à 22ª; 308ª; ","308ª; "
"MOOCA","4a. ZE - SÃO PAULO - MOÓCA","EE. PANDIÁ CALÓGERAS","AV. PAES DE BARROS, 1025","Da 110ª à 125ª.","122ª; 123ª; 124ª; "
"MOOCA","4a. ZE - SÃO PAULO - MOÓCA","EE. PROF. ANDRÉ XAVIER GALLICHO","RUA DA MOOCA, 4650","Da 136ª à 152ª; 408ª; ","139ª; "
"MOOCA","4a. ZE - SÃO PAULO - MOÓCA","EE. PROF. ANTONIO FIRMINO DE PROENÇA","RUA DA MOOCA, 363","Da 1ª à 15ª.","3ª; "
"MOOCA","4a. ZE - SÃO PAULO - MOÓCA","ETE. PROF. CAMARGO ARANHA","RUA BRESSER, 2909","Da 31ª à 47ª; 368ª; 374ª; 379ª; 382ª; 388ª; 397ª; ","34ª; "
"MOOCA","4a. ZE - SÃO PAULO - MOÓCA","UNIVERSIDADE ANHEMBI MORUMBI","RUA DR. ALMEIDA LIMA, 1134","343ª; 346ª; 354ª; 366ª; 370ª; 378ª; 387ª; 394ª; 404ª; 413ª; 429ª; 433ª; ","343ª; "
"MOOCA","4a. ZE - SÃO PAULO - MOÓCA","UNIVERSIDADE SÃO JUDAS TADEU","RUA TAQUARI, 546","Da 23ª à 30ª; Da 235ª à 245ª; 313ª; 317ª; 328ª; 332ª; 344ª; 349ª; 356ª; 360ª; Da 364ª à 365ª; 391ª; 421ª; 428ª; ","328ª; 344ª; "
"MORRO DO INDIO","20a. ZE - SÃO PAULO - VALO VELHO","EE. PASTOR CÍCERO CANUTO DE LIMA","RUA CIPOTUBA, 37","Da 103ª à 123ª.","116ª; 117ª; 118ª; 119ª; 120ª; 121ª; 122ª; 123ª; "
"MORRO GRANDE","327a. ZE - SÃO PAULO - NOSSA SENHORA DO Ó","EE. PROFESSOR JOSÉ BARBOSA DE ALMEIDA","AVENIDA ELÍSIO TEIXEIRA LEITE, 3000","573ª; 577ª; 583ª; 585ª; ","583ª; "
"MORUMBI","346a. ZE - SÃO PAULO - BUTANTÃ","ASSOCIAÇÃO EDUCACIONAL EUGÊNIO MONTALE","RUA DR. JOSÉ GUSTAVO, 75","595ª; 626ª; 634ª; 642ª; Da 644ª à 645ª; 650ª; 655ª; ","595ª; "
"MORUMBI","346a. ZE - SÃO PAULO - BUTANTÃ","FACULDADES METROPOLITANAS UNIDAS - CAMPUS MORUMBI","AVENIDA MORUMBI, 501","Da 21ª à 30ª; 623ª; ","23ª; "
"NOSSA SENHORA DO O","327a. ZE - SÃO PAULO - NOSSA SENHORA DO Ó","EE. PADRE MANOEL DE NÓBREGA","AVENIDA ITABERABA, 145","Da 209ª à 220ª.","209ª; "
"NOSSA SENHORA DO O","327a. ZE - SÃO PAULO - NOSSA SENHORA DO Ó","EE. PROF. AUGUSTO RIBEIRO DE CARVALHO","RUA PROF. JOÃO MACHADO, 511","Da 221ª à 229ª; Da 239ª à 246ª; Da 404ª à 407ª; 428ª; ","239ª; "
"NUCLEO DO ENGORDADOR","256a. ZE - SÃO PAULO - TUCURUVI","EE. PROFA. PHILOMENA BAYLAO","AV. CEL. SEZEFREDO FAGUNDES, 14666","296ª; 317ª; 331ª; 367ª; 382ª; 411ª; 430ª; 443ª; 453ª; 457ª; 461ª; 469ª; ",""
"PARADA INGLESA","349a. ZE - SÃO PAULO - JAÇANÃ","COLÉGIO IAPI","AV. GENERAL ATALIBA LEONEL, 2936","531ª; 572ª; 605ª; 622ª; 636ª; ","531ª; "
"PARADA XV DE NOVEMBRO","248a. ZE - SÃO PAULO - ITAQUERA","EE. COMENDADOR MARIO REYS","RUA JERIBATUBA, 102","Da 387ª à 400ª; Da 521ª à 522ª; 544ª; ","387ª; "
"PARADA XV DE NOVEMBRO","248a. ZE - SÃO PAULO - ITAQUERA","EE. ESCULTOR GALILEO EMENDABILI","RUA JERIBATUBA, 103","Da 401ª à 411ª; 636ª; 673ª; ","636ª; "
"PARADA XV DE NOVEMBRO","248a. ZE - SÃO PAULO - ITAQUERA","EE. JÚLIO DINIZ","RUA JUÇARAL, 170","Da 412ª à 420ª; 570ª; 635ª; 681ª; 702ª; 732ª; 751ª; 829ª; ","732ª; "
"PARADA XV DE NOVEMBRO","248a. ZE - SÃO PAULO - ITAQUERA","EMEI PROFA. MARIA HELENA BARBOSA MARTINS","RUA IBIAJARA, 757","858ª; 864ª; 874ª; ","858ª; "
"PARAÍSO","6a. ZE - SÃO PAULO - VILA MARIANA","COLÉGIO MARIA IMACULADA","AV. BERNARDINO DE CAMPOS, 79","Da 97ª à 108ª; 313ª; 330ª; 336ª; 343ª; 350ª; 361ª; 366ª; 371ª; ","107ª; 108ª; "
"PARAÍSO","6a. ZE - SÃO PAULO - VILA MARIANA","COLÉGIO SANTA CATARINA DE SENA","RUA MANOEL DA NÓBREGA,307","Da 407ª à 408ª; 416ª; 421ª; 437ª; ","408ª; "
"PARAÍSO","6a. ZE - SÃO PAULO - VILA MARIANA","ESCOLA SANTI","RUA ABÍLIO SOARES, 425","Da 109ª à 116ª; Da 294ª à 298ª; ","109ª; "
"PARAÍSO","6a. ZE - SÃO PAULO - VILA MARIANA","LOCAL RESERVA, NÃO UTILIZAR","RUA VERGUEIRO, 1465","Da 429ª à 436ª.","429ª; 430ª; 431ª; 432ª; 433ª; 434ª; 435ª; 436ª; "
"PARAÍSO","6a. ZE - SÃO PAULO - VILA MARIANA","UNIP. UNIVERSIDADE PAULISTA  PARAÍSO","RUA VERGUEIRO, 1211","Da 58ª à 80ª; Da 309ª à 310ª; 315ª; 425ª; 447ª; ","310ª; "
"PARAISOPOLIS","346a. ZE - SÃO PAULO - BUTANTÃ","COLÉGIO VISCONDE DE PORTO SEGURO - UNIDADE I","RUA CLEMENTINE BRENNE, 30","423ª; Da 425ª à 429ª; 446ª; 532ª; 548ª; 555ª; 558ª; ","423ª; "
"PARAISOPOLIS","408a. ZE - SÃO PAULO - JARDIM SÃO LUÍS","EMEF. CÉU PARAISÓPOLIS","RUA DR. JOSÉ AUGUSTO DE SOUZA E SILVA, S/N","315ª; 323ª; 328ª; 333ª; 337ª; 343ª; 345ª; 348ª; Da 351ª à 352ª; 357ª; 359ª; 364ª; 368ª; 371ª; 376ª; 378ª; 383ª; Da 388ª à 389ª; 393ª; 399ª; 401ª; 403ª; ",""
"PARELHEIROS","381a. ZE - SÃO PAULO - PARELHEIROS","CEU. CEI. PARELHEIROS","RUA TEREZINHA DO PRADO OLIVEIRA, S/N - PORTARIA 1","572ª; 579ª; 593ª; ","572ª; "
"PARELHEIROS","381a. ZE - SÃO PAULO - PARELHEIROS","CEU. EMEF. MANOEL VIEIRA DE QUEIRÓZ FILHO","RUA TEREZINHA DO PRADO OLIVEIRA, S/N - PORTARIA 1","Da 193ª à 194ª; Da 272ª à 275ª; 419ª; 431ª; 438ª; 445ª; 450ª; 456ª; 460ª; 464ª; 470ª; 473ª; 478ª; 484ª; ","419ª; "
"PARELHEIROS","381a. ZE - SÃO PAULO - PARELHEIROS","CEU. EMEI. PARELHEIROS","RUA TEREZINHA DO PRADO OLIVEIRA, S/N - PORTARIA 1","489ª; 494ª; 496ª; 501ª; 508ª; 514ª; 519ª; 528ª; 534ª; ","494ª; "
"PARELHEIROS","381a. ZE - SÃO PAULO - PARELHEIROS","EE. DONA PRISCILIANA DUARTE DE ALMEIDA","AV. SADAMU INOUE, 6820","114ª; Da 251ª à 260ª; 405ª; 569ª; ","114ª; "
"PARELHEIROS","381a. ZE - SÃO PAULO - PARELHEIROS","EE. LEDA GUIMARÃES NATAL","RUA AMERICO COXA,S/N","Da 281ª à 284ª; 306ª; 313ª; 320ª; 328ª; 334ª; 346ª; 354ª; 362ª; 372ª; 391ª; ","281ª; "
"PARI","3a. ZE - SÃO PAULO - SANTA IFIGÊNIA","EE. FREI PAULO LUIG","AV. DR. CARLOS DE CAMPOS, 841","Da 182ª à 189ª.","183ª; "
"PARQUE ALVES DE LIMA","372a. ZE - SÃO PAULO - PIRAPORINHA","COLÉGIO COMENDADOR ELIAS ZARZUR","AV. FRANCISCO NÓBREGA BARBOSA, 76/160","207ª; 221ª; 235ª; 244ª; 261ª; 272ª; 280ª; 283ª; 293ª; 307ª; 331ª; 425ª; 465ª; 497ª; 526ª; 579ª; 635ª; 654ª; ","221ª; "
"PARQUE AMERICA","371a. ZE - SÃO PAULO - GRAJAÚ","EE. ITIRO MUTO","RUA PAULO ARAÚJO NOVAES, 190","603ª; 609ª; 615ª; 636ª; 648ª; 660ª; 670ª; 683ª; 699ª; 716ª; ","609ª; "
"PARQUE AMERICA","371a. ZE - SÃO PAULO - GRAJAÚ","EE. PARQUE NOVO GRAJAÚ","RUA AUGUSTO TEIXEIRA, 101","671ª; 681ª; 690ª; 697ª; 704ª; 714ª; 721ª; 763ª; ","697ª; "
"PARQUE AMERICA","371a. ZE - SÃO PAULO - GRAJAÚ","EE. PRESIDENTE RENE MUAWAD","RUA ESTELA NAVES JUNQUEIRA, 79","263ª; 271ª; 278ª; 295ª; 301ª; 313ª; 324ª; 331ª; 391ª; 417ª; 420ª; 437ª; ","437ª; "
"PARQUE AMERICA","371a. ZE - SÃO PAULO - GRAJAÚ","EE. PROFA. NAIR TOLEDO DAMIÃO","AV. ROSÁLIA IANNINI CONDE, 55","425ª; 450ª; 478ª; 501ª; 517ª; 523ª; 537ª; 553ª; 563ª; 570ª; 580ª; 587ª; ",""
"PARQUE ANHANGUERA","389a. ZE - SÃO PAULO - PERUS","EE. JARDIM CANAÃ","RUA CORONEL JOSÉ GLADIADOR, S/N.","Da 222ª à 226ª; 262ª; 293ª; ","293ª; "
"PARQUE ANHANGUERA","389a. ZE - SÃO PAULO - PERUS","EE. PROF. SEBASTIÃO DE OLIVEIRA GUSMÃO","RUA FRANCISCO GIRON, SEM NÚMERO","Da 241ª à 250ª.","250ª; "
"PARQUE ANHANGUERA","403a. ZE - SÃO PAULO - JARAGUÁ","EE. PROFA. MARILENA PIUMBATO CHAPARRO","RUA BOAVENTURA PEREIRA, 235","Da 42ª à 44ª; 143ª; 148ª; 153ª; 163ª; 167ª; 178ª; 194ª; 211ª; ","194ª; "
"PARQUE ANHANGUERA","389a. ZE - SÃO PAULO - PERUS","EE. SOL NASCENTE","RUA SÃO PAULO, 6","296ª; 318ª; 344ª; 381ª; 408ª; 433ª; 452ª; 505ª; ","318ª; "
"PARQUE ANHANGUERA","389a. ZE - SÃO PAULO - PERUS","EMEI. MARIA JOSÉ DUPRÉ","RUA PASTOR JOÃO GRECCHI, 84","311ª; 349ª; 387ª; 422ª; ","422ª; "
"PARQUE ARARIBA","328a. ZE - SÃO PAULO - CAMPO LIMPO","EMEF. DES. PAULO COLOMBO PEREIRA DE QUEIROZ","RUA DR. ABELARDO DA CUNHA LOBO, 348","Da 330ª à 342ª; 638ª; 825ª; 857ª; 900ª; ","825ª; "
"PARQUE ARARIBA","328a. ZE - SÃO PAULO - CAMPO LIMPO","EMEF. 22 DE MARÇO","RUA FRANCISCO SOARES, 51","777ª; Da 783ª à 784ª; 788ª; 791ª; 794ª; 798ª; 800ª; 803ª; 808ª; 812ª; 835ª; ","835ª; "
"PARQUE BAIRRO MORUMBI","408a. ZE - SÃO PAULO - JARDIM SÃO LUÍS","EE. MARIA ZILDA GAMBA NATEL","RUA DR. JOSÉ CARLOS DE TOLEDO PIZA, S/N","Da 226ª à 228ª; 236ª; Da 246ª à 247ª; 253ª; 257ª; 266ª; 276ª; 282ª; 291ª; Da 298ª à 299ª; 307ª; 310ª; ","307ª; "
"PARQUE BAIRRO MORUMBI","408a. ZE - SÃO PAULO - JARDIM SÃO LUÍS","EE. PROFA. ETELVINA DE GÓES MARCUCCI","RUA DR. JOSÉ CARLOS DE TOLEDO PIZA, SN","Da 164ª à 177ª; 264ª; 277ª; 283ª; 294ª; ","294ª; "
"PARQUE BELÉM","376a. ZE - SÃO PAULO - BRASILÂNDIA","EMEI ANITA GARIBALDI","RUA OTELO ZELONI, 60","456ª; 507ª; 552ª; 598ª; ","552ª; "
"PARQUE BOA ESPERANÇA","375a. ZE - SÃO PAULO - SÃO MATEUS","EE. MAESTRO BRENNO ROSSI","RUA JOSÉ PARDO, 41","496ª; 507ª; 517ª; 531ª; 553ª; 571ª; 580ª; 587ª; 596ª; 604ª; 614ª; 622ª; 634ª; 659ª; 668ª; 681ª; 688ª; 698ª; 707ª; 714ª; ","531ª; "
"PARQUE BOA ESPERANÇA","375a. ZE - SÃO PAULO - SÃO MATEUS","EMEF. COELHO NETO","RUA DIOGO GARCIA, 128","Da 228ª à 230ª; 246ª; Da 256ª à 257ª; 261ª; 267ª; 278ª; 284ª; 291ª; 301ª; 500ª; 522ª; ","522ª; "
"PARQUE BOA ESPERANÇA","375a. ZE - SÃO PAULO - SÃO MATEUS","EMEF. PARQUE BOA ESPERANÇA 2","RUA FRANCISCO DE MELO PALHETA, S/N","638ª; 651ª; 694ª; 706ª; 726ª; 739ª; ","638ª; "
"PARQUE BOA ESPERANÇA","375a. ZE - SÃO PAULO - SÃO MATEUS","EMEF. PLÍNIO DE QUEIROZ","RUA MANUEL HENRIQUE DE PAIVA, S/N","355ª; 375ª; 385ª; 394ª; 403ª; 412ª; 425ª; 432ª; 448ª; 458ª; 466ª; 474ª; 541ª; 554ª; 570ª; ","541ª; "
