neighbourhood,zone,name,address,sections1,sections2
"JARDIM CARUMBÉ","376a. ZE - SÃO PAULO - BRASILÂNDIA","EE. PROFESSOR RENATO DE ARRUDA PENTEADO","RUA FLORIANO DA COSTA BARROSO, 10","337ª; 344ª; 348ª; 364ª; 377ª; 391ª; 407ª; Da 428ª à 429ª; 442ª; 451ª; 465ª; 477ª; 485ª; 498ª; 515ª; 568ª; 587ª; ","344ª; "
"JARDIM CARUMBÉ","376a. ZE - SÃO PAULO - BRASILÂNDIA","EMEI CORONEL JOSÉ CANAVÓ FILHO","RUA EUVALDO AUGUSTO FREIRE, 02","585ª; 631ª; ",""
"JARDIM CASA BLANCA","408a. ZE - SÃO PAULO - JARDIM SÃO LUÍS","EE. PROF. CARAM APPARECIDO GONÇALVES","RUA GREGÓRIO ALLEGRI, 101","Da 192ª à 208ª.","192ª; "
"JARDIM CASA GRANDE","381a. ZE - SÃO PAULO - PARELHEIROS","EE. PAULINO NUNES ESPOSO","AV. SADAMU INOUE, 365","Da 77ª à 95ª.",""
"JARDIM CATANDUVA","328a. ZE - SÃO PAULO - CAMPO LIMPO","EMEF. CEL. PALIMÉRCIO DE REZENDE","RUA FREI MARTINHO BURNIER, 50","Da 44ª à 58ª; 679ª; 821ª; 843ª; ","821ª; "
"JARDIM CATANDUVA","328a. ZE - SÃO PAULO - CAMPO LIMPO","EMEF. PREFEITO ADHEMAR DE BARROS","RUA GIOVANNI AMADEO, 187","Da 59ª à 70ª; 822ª; 838ª; ","822ª; "
"JARDIM CATARINA","253a. ZE - SÃO PAULO - TATUAPÉ","EE. MARIA PRESTES MAIA","RUA ANTÔNIO FERRACIOLI, 283","478ª; 502ª; 526ª; 564ª; 599ª; 606ª; 631ª; ","526ª; 599ª; "
"JARDIM CELESTE","413a. ZE - SÃO PAULO - CURSINO","EMEF. PROF. ROBERTO PLÍNIO COLACIOPPO","RUA ATÍLIO SELVA, 16","Da 233ª à 235ª; 284ª; 305ª; 316ª; 327ª; 337ª; 355ª; 359ª; 375ª; 383ª; ","355ª; "
"JARDIM CELESTE","346a. ZE - SÃO PAULO - BUTANTÃ","EMEF. TARSILA DO AMARAL","RUA NATAL PIGASSI, 787","Da 91ª à 103ª; 608ª; ","608ª; "
"JARDIM CENTENÁRIO","353a. ZE - SÃO PAULO - GUAIANASES","EE. PROFª  NANCY DE OLIVEIRA FIDALGO","RUA  MIGUEL ARCANJO DUTRA, 253","623ª; 659ª; 668ª; 693ª; 728ª; 758ª; 792ª; 818ª; 826ª; 843ª; 860ª; 872ª; 905ª; 918ª; 943ª; 958ª; 979ª; ","659ª; 918ª; "
"JARDIM CENTENÁRIO","255a. ZE - SÃO PAULO - CASA VERDE","EMEBS. PROF. MÁRIO PEREIRA BICUDO","AVENIDA FÉLIX ALVES PEREIRA, S/N","393ª; 397ª; 411ª; 418ª; 438ª; 440ª; 517ª; ","393ª; "
"JARDIM CIBELE","405a. ZE - SÃO PAULO - CONJUNTO JOSÉ BONIFÁCIO","EE. JOÃO CASTELANO","RUA TOMOISHI SHIMIZU, 758","191ª; 213ª; 229ª; 241ª; ","213ª; "
